timestamp,Mon,Tue,Wed,Thu,Fri,Sat,Sun
2025-10-23 21:54:47,7.4,6.4,9.0,7.9,10.4,8.9,11.4
2025-10-23 21:54:55,5.3,13.0,7.6,12.7,7.2,11.7,9.1
2025-10-23 21:55:02,14.8,13.0,14.3,12.7,14.4,9.3,14.4
2025-10-23 21:55:04,14.8,13.0,14.3,12.7,14.4,9.3,14.4
2025-10-23 21:55:04,14.8,13.0,14.3,12.7,14.4,9.3,14.4
2025-10-23 21:55:04,14.8,13.0,14.3,12.7,14.4,9.3,14.4
2025-10-23 21:55:05,14.8,13.0,14.3,12.7,14.4,9.3,14.4
2025-10-23 21:55:05,14.8,13.0,14.3,12.7,14.4,9.3,14.4
2025-10-23 21:55:14,1.7,7.4,3.1,14.4,7.7,14.9,4.2
2025-10-23 21:55:14,1.7,7.4,3.1,14.4,7.7,14.9,4.2
2025-10-23 21:55:15,1.7,7.4,3.1,14.4,7.7,14.9,4.2
